date	close
15-Mar-12	585.56
16-Mar-12	585.57
19-Mar-12	601.10
20-Mar-12	605.96
21-Mar-12	602.50
22-Mar-12	599.34
23-Mar-12	596.05
26-Mar-12	606.98
27-Mar-12	614.48
28-Mar-12	617.62
29-Mar-12	609.86
30-Mar-12	599.55
2-Apr-12	618.63
3-Apr-12	629.32
4-Apr-12	624.31
5-Apr-12	633.68
9-Apr-12	636.23
10-Apr-12	628.44
11-Apr-12	626.20
12-Apr-12	622.77
13-Apr-12	605.23
16-Apr-12	580.13
17-Apr-12	609.70
18-Apr-12	608.34
19-Apr-12	587.44
20-Apr-12	572.98
23-Apr-12	571.70
24-Apr-12	560.28
25-Apr-12	610.00
26-Apr-12	607.70
27-Apr-12	603.00
30-Apr-12	583.98
1-May-12	582.13
